currency,name,fullName,precision,isMarginEnabled,isDebitEnabled
PCX,pcx,chainx,8,False,False
BTMX,btmx,bitmax token,8,False,False
ORBS,orbs,orbs,8,False,False
DSLA,dsla,dsla protocol,8,False,False
FLUX,flux,flux,8,True,True
SAND,sand,the sandbox,8,True,True
SPI,spi,shopping.io,8,False,False
GSPI,gspi,spi governance,8,False,False
XCUR,xcur,curate,8,False,False
VAI,vai,vaiot,8,False,False
DODO,dodo,dodo,8,True,True
PUNDIX,pundix,pundi x ,8,False,False
BOSON,boson,boson protocol,8,False,True
HT,ht,huobi token,8,False,False
PDEX,pdex,polkadex,8,False,False
LABS,labs,labs group,8,False,False
STRK,strk,strike,8,False,False
PHNX,phnx,phoenixdao,8,False,False
HAI,hai,hacken token,8,False,False
EQZ,eqz,equalizer,8,False,False
FORTH,forth,ampleforth governance token,8,False,False
CARR,carr,carnomaly,8,False,False
HORD,hord,hord token,8,False,False
CGG,cgg,chain guardians,8,False,False
GHX,ghx,gamercoin,8,False,False
TCP,tcp,the crypto prophecies,8,False,False
TOWER,tower,tower,8,False,False
ACE,ace,acent,8,False,False
STND,stnd,standard,8,False,False
LOCG,locg,locgame,8,False,False
FLY,fly,franklin,8,False,False
CARD,card,cardstack,8,False,False
XDC,xdc,xdc mainnet,8,False,True
CWS,cws,crowns,8,False,False
ADA3S,ada3s,ada 3x short,8,False,False
FCL,fcl,fractal,8,False,False
SHIB,shib,shiba inu,8,True,True
POLX,polx,polylastic,8,False,False
KDA,kda,kadena,8,True,True
GOVI,govi,govi,8,False,False
ICP,icp,internet computer,8,True,True
CELO,celo,celo,8,True,True
CUSD,cusd,celo dollar,8,False,False
STC,stc,student coin,8,False,False
MATIC,matic,polygon,8,True,True
OGN,ogn,origin protocol,8,True,True
OUSD,ousd,origin dollar,8,False,False
GLQ,glq,graphlinq,8,False,False
TLOS,tlos,telos,8,False,True
NIF,nif,unifty,8,False,False
LNCHX,lnchx,launchx,8,False,False
YOP,yop,yop,8,False,False
MXC,mxc,mxctoken,8,False,True
ERSDL,ersdl,unfederalreservetoken,8,False,False
ADA3L,ada3l,ada 3x long,8,False,False
HOTCROSS,hotcross,hot cross,8,False,True
DPI,dpi,defi pulse index,8,False,False
HYVE,hyve,hyve,8,False,False
DAPPX,dappx,dappstore token,8,False,False
FEAR,fear,fear,8,False,False
KONO,kono,konomi network,8,False,False
MAHA,maha,mahadao,8,False,True
UNO,uno,unore,8,False,True
PRQ,prq,parsiq,8,False,False
PYR,pyr,vulcan forged pyr,8,True,True
GLCH,glch,glitch,8,False,False
ALBT,albt,allianceblock,8,False,False
XCAD,xcad,xcad network,8,False,False
PROM,prom,prom,8,False,False
EOS3L,eos3l,eos 3x long,8,False,False
EOS3S,eos3s,eos 3x short,8,False,False
BCH3L,bch3l,bch 3x long,8,False,False
BCH3S,bch3s,bch 3x short,8,False,False
ELON,elon,dogelon,8,True,True
APL,apl,apollo currency,8,False,False
DIVI,divi,divi,8,False,False
VEED,veed,vimworld,8,False,False
LSS,lss,lossless,8,False,False
JUP,jup,jupiter,8,False,False
AGIX,agix,singularitynet token,8,True,True
DORA,dora,dora factory,8,False,False
LPOOL,lpool,launchpool token,8,False,False
VET3L,vet3l,vet 3x long,8,False,False
VET3S,vet3s,vet 3x short,8,False,False
LTC3L,ltc3l,ltc 3x long,8,False,False
LTC3S,ltc3s,ltc 3x short,8,False,False
ETHO,etho,etho protocol,8,False,False
POLS,pols,polkastarter,8,True,True
KOK,kok,kok,8,False,True
ABBC,abbc,abbc coin,8,False,False
ZCX,zcx,unizen,8,False,True
ROSN,rosn,roseon finance,8,False,False
NORD,nord,nord finance,8,False,False
GMEE,gmee,gamee,8,False,False
XAVA,xava,avalaunch,8,False,False
AI,ai,multiverse,8,False,False
SFUND,sfund,seedify.fund ,8,False,False
IOI,ioi,ioi token,8,False,False
ALPACA,alpaca,alpaca finance,8,False,False
NFT,nft,apenft,8,True,True
MNST,mnst,moonstarter,8,False,False
MEM,mem,meme.com,8,False,False
DLTA,dlta,delta.theta,8,False,False
AIOZ,aioz,aioz network,8,True,True
MARSH,marsh,unmarshal,8,False,False
OPS,ops,octopus,8,False,False
CQT,cqt,covalent,8,False,False
HAPI,hapi,hapi,8,False,False
GENS,gens,genshiro,8,False,False
YFDAI,yfdai,yfdai.finance,8,False,False
FORM,form,formation fi,8,False,False
MODEFI,modefi,modefi,8,False,False
ARRR,arrr,pirate chain,8,False,False
SPHRI,sphri,spherium finance,8,False,False
CEUR,ceur,celo euro,8,False,False
ASD,asd,ascendex token,8,False,False
EXRD,exrd,radix,8,False,False
NGM,ngm,e-money,8,False,False
LPT,lpt,livepeer,8,True,True
STMX,stmx,stormx,8,False,False
BOND,bond,barnbridge,8,False,True
2CRZ,2crz,2crazy,8,False,False
ZORT,zort,zort coin,8,False,False
SHFT,shft,shyft,8,False,False
NEAR,near,near protocol,8,True,True
OOE,ooe,openocean,8,False,False
DFYN,dfyn,dfyn network,8,False,False
WCFG,wcfg,wrapped centrifuge,8,False,False
CFG,cfg,centrifuge,8,False,False
AXC,axc,axia,8,False,False
MUSH,mush,mush,8,False,False
SMT,smt,smartmesh,8,False,False
AXS,axs,axie infinity,8,True,True
CLV,clv,clover finance,8,True,True
ROUTE,route,route,8,False,True
KAR,kar,karura,8,False,False
BURP,burp,big town chef,8,False,False
DPET,dpet,my defi pet,8,False,False
PMON,pmon,polychain monsters,8,False,False
ERG,erg,ergo,8,False,False
LITH,lith,lithium,8,False,False
SOL,sol,solana,8,True,True
SLP,slp,smooth love potion,8,True,True
XCH,xch,chia network,8,False,False
HAKA,haka,tribeone,8,False,False
MTL,mtl,metal,8,False,True
GALAX,gala,gala games,8,True,True
CIRUS,cirus,cirus,8,False,False
TXA,txa,txa project,8,False,False
QI,qi,benqi,8,True,True
ODDZ,oddz,oddz,8,False,False
PNT,pnt,pnetwork token,8,False,False
XPR,xpr,proton,8,True,True
TRIBE,tribe,tribe,8,False,False
MOVR,movr,moonriver,8,True,True
MAKI,maki,makiswap,8,False,False
QRDO,qrdo,qredo token,8,False,True
WOO,woo,woo network,8,True,True
WILD,wild,wilder world,8,False,False
SDN,sdn,shiden network,8,False,False
REP,rep,augur,8,False,False
BNT,bnt,bancor,8,False,False
OXT,oxt,orchid,8,False,True
BAL,bal,balancer,8,False,False
STORJ,storj,storj,8,True,True
YGG,ygg,yield guild games,8,True,True
NDAU,ndau,ndau,8,False,False
SDAO,sdao,singularity dao,8,False,True
SKL,skl,skale  network,8,True,True
NMR,nmr,numeraire,8,False,False
XRP3L,xrp3l,xrp 3x long,8,False,False
XRP3S,xrp3s,xrp 3x short,8,False,False
TRB,trb,tellor,8,False,True
IXS,ixs,ix swap,8,False,False
PBX,pbx,paribus,8,False,False
GTC,gtc,gitcoin,8,False,False
LUNA3L,luna3l,luna 3x long,8,False,False
LUNA3S,luna3s,luna 3x short,8,False,False
DYDX,dydx,dydx,8,True,True
EQX,eqx,eqifi ,8,False,False
RLC,rlc,iexec rlc,8,True,True
XNL,xnl,chronicle,8,False,False
HBAR,hbar,hedera hashgraph,8,True,True
XPRT,xprt,persistence,8,False,False
EGLD,egld,multiversx,8,True,True
FLOW,flow,flow,8,True,True
DOGE3L,doge3l,doge 3x long,8,False,False
DOGE3S,doge3s,doge 3x short,8,False,False
NKN,nkn,nkn,8,True,True
SOL3L,sol3l,sol 3x long,8,False,False
SOL3S,sol3s,sol 3x short,8,False,False
MLN,mln,enzyme,8,False,False
WNCG,wncg,wrapped ncg,8,False,False
DMTR,dmtr,dimitra,8,False,False
LINK3L,link3l,link 3x long,8,False,False
LINK3S,link3s,link 3x short,8,False,False
DOT3L,dot3l,dot 3x long,8,False,False
DOT3S,dot3s,dot 3x short,8,False,False
KEEP,keep,keep network,8,False,True
DINO,dino,dinoswap,8,False,False
CTSI,ctsi,cartesi,8,True,True
ALICE,alice,myneighboralice,8,True,True
UMB,umb,umbrella network,8,False,False
OPUL,opul,opulous,8,False,False
ILV,ilv,illuvium,8,True,True
BAND,band,band protocol,8,False,True
USD,usd,us dollar,2,False,False
FTT,ftt,ftx token,8,False,True
DVPN,dvpn,sentinel,8,False,False
SKU,sku,sakura,8,False,False
SLIM,slim,solanium,8,False,False
EDG,edg,edgeware,8,False,False
DEXE,dexe,dexe,8,False,True
TLM,tlm,alien worlds,8,True,True
RMRK,rmrk,rmrk,8,False,False
RUNE,rune,thorchain,8,True,True
MATTER,matter,antimatter,8,False,False
SOV,sov,sovryn,8,False,False
BMON,bmon,binamon,8,False,False
C98,c98,coin98,8,True,True
BLOK,blok,bloktopia,8,False,False
SOLR,solr,solrazr,8,False,False
UNI3L,uni3l,uni 3x long,8,False,False
UNI3S,uni3s,uni 3x short,8,False,False
ATOM3L,atom3l,atom 3x long,8,False,False
ATOM3S,atom3s,atom 3x short,8,False,False
SIENNA,sienna,siennaerc20,8,False,False
PUSH,push,push protocol,8,False,False
WSIENNA,wsienna,sienna,8,False,False
NTVRK,ntvrk,netvrk,8,False,False
YLD,yld,yield app,8,False,False
FLAME,flame,firestarter,8,False,False
FTM3L,ftm3l,ftm 3x long,8,False,False
FTM3S,ftm3s,ftm 3x short,8,False,False
AXS3L,axs3l,axs 3x long,8,False,False
AXS3S,axs3s,axs 3x short,8,False,False
AGLD,agld,adventure gold,8,False,False
NAKA,naka,nakamoto.games,8,False,False
REEF,reef,reef,8,False,True
TORN,torn,tornado cash,8,False,False
TIDAL,tidal,tidal finance,8,False,False
TVK,tvk,the virtua kolect,8,False,True
INJ,inj,injective,8,True,True
NFTB,nftb,nftb,8,False,False
MATIC3L,matic3l,matic 3x long,8,False,False
MATIC3S,matic3s,matic 3x short,8,False,False
BNB3L,bnb3l,bnb 3x long,8,False,False
BNB3S,bnb3s,bnb 3x short,8,False,False
ALPHA,alpha,stella,8,False,True
BADGER,badger,badger dao,8,False,True
VEGA,vega,vega protocol,8,False,False
ZKT,zkt,zktube,8,False,False
AR,ar,arweave,8,True,True
XVS,xvs,venus,8,False,False
GHST,ghst,aavegotchi,8,False,True
PERP,perp,perpetual protocol,8,False,True
SCLP,sclp,scallop,8,False,False
JASMY,jasmy,jasmycoin,8,True,True
CPOOL,cpool,clearpool,8,False,False
LTO,lto,lto network,8,True,True
SUPER,super,superfarm,8,True,True
BZRX,bzrx,bzx protocol,8,False,False
BASIC,basic,basic,8,False,False
AURY,aury,aurory,8,False,False
HERO,hero,metahero,8,False,True
XED,xed,exeedme,8,False,False
SWASH,swash,swash token,8,False,False
NEAR3L,near3l,near 3x long,8,False,False
NEAR3S,near3s,near 3x short,8,False,False
SUSHI3L,sushi3l,sushi 3x long,8,False,False
SUSHI3S,sushi3s,sushi 3x short,8,False,False
DREAMS,dreams,dreams quest,8,False,False
MTRG,mtrg,meter,8,False,True
QUICK,quick,quickswap,8,False,False
TRU,tru,truefi,8,False,True
WRX,wrx,wazirx,8,False,True
TKO,tko,tokocrypto,8,False,False
EPS,eps,ellipsis,8,False,False
DATA,data,streamr,8,False,False
ISP,isp,ispolink token,8,False,False
CERE,cere,cere network,8,False,False
SHILL,shill,project seed,8,False,True
HEGIC,hegic,hegic,8,False,False
ERN,ern,ethernity chain,8,True,True
PAXG,paxg,pax gold,8,False,True
AAVE3L,aave3l,aave 3x long,8,False,False
AUDIO,audio,audius,8,True,True
AAVE3S,aave3s,aave 3x short,8,False,False
SAND3L,sand3l,sand 3x long,8,False,False
SAND3S,sand3s,sand 3x short,8,False,False
FTG,ftg,ongo,8,False,False
AUD,aud,australian dollar,2,False,False
BGN,bgn,bulgarian lev,2,False,False
BRL,brl,brazilian real,2,False,False
CAD,cad,canadian dollar,2,False,False
CHF,chf,swiss franc,2,False,False
CZK,czk,czech koruna,2,False,False
DKK,dkk,danish krone,2,False,False
EUR,eur,euro,2,False,False
GBP,gbp,pound sterling,2,False,False
HKD,hkd,hong kong dollar,2,False,False
HRK,hrk,croatian kuna,2,False,False
INR,inr,indian rupee,2,False,False
JPY,jpy,yen,2,False,False
KZT,kzt,tenge,2,False,False
MXN,mxn,mexican peso,2,False,False
MYR,myr,malaysian ringgit,2,False,False
NGN,ngn,naira,2,False,False
PLN,pln,zloty,2,False,False
RON,ron,new ley,2,False,False
RUB,rub,russian ruble,2,False,False
SEK,sek,swedish krona,2,False,False
SGD,sgd,singapore dollar,2,False,False
THB,thb,baht,2,False,False
TWD,twd,new taiwan dollar,2,False,False
UAH,uah,hryvnia,2,False,False
ZAR,zar,rand,2,False,False
XTM,xtm,torum,8,False,False
ENS,ens,ethereum name service,8,True,True
ATA,ata,automata network,8,False,False
FXS,fxs,frax share,8,True,True
MNW,mnw,morpheus.network,8,False,False
CWAR,cwar,cryowar,8,False,False
VXV,vxv,vector space biosciences,8,False,False
DPR,dpr,deeper network,8,False,False
SWP,swp,kava swap,8,False,False
PBR,pbr,polkabridge,8,False,False
WNXM,wnxm,wrapped nxm,8,False,False
ANT,ant,aragon,8,True,True
ADX,adx,adex,8,False,False
TWT,twt,trust wallet token,8,False,False
OM,om,mantra dao,8,False,False
AVAX3L,avax3l,avax 3x long,8,False,False
AVAX3S,avax3s,avax 3x short,8,False,False
MANA3L,mana3l,mana 3x long,8,False,False
MANA3S,mana3s,mana 3x short,8,False,False
GLM,glm,golem,8,False,False
NUM,num,numbers protocol,8,False,True
BAKE,bake,bakerytoken,8,False,True
MONI,moni,monsta infinite,8,False,False
TRADE,trade,polytrade,8,False,False
VLX,vlx,velas,8,False,False
1EARTH,1earth,earthfund,8,False,True
KAVA,kava,kava,8,True,True
LIKE,like,only1,8,False,False
LIT,lit,litentry,8,False,True
MFT,mft,hifi finance,8,False,True
SFP,sfp,safepal,8,False,True
BURGER,burger,burger swap,8,False,True
ILA,ila,infinite launch,8,False,False
CREAM,cream,cream finance,8,False,True
RSR,rsr,reserve rights,8,True,True
GODS,gods,gods unchained,8,False,True
IMX,imx,immutable x,8,True,True
KMA,kma,calamari,8,False,False
SRM,srm,serum,8,False,True
POLC,polc,polkacity,8,False,True
KIN,kin,kin,8,False,False
XTAG,xtag,xhashtag,8,False,False
VR,vr,victoria vr,8,False,False
MNET,mnet,mine network,8,False,False
NGC,ngc,naga coin,8,False,False
GALAX3L,galax3l,galax 3x long,8,False,False
GALAX3S,galax3s,galax 3x short,8,False,False
NU,nu,nucypher,8,False,True
HARD,hard,kava lend,8,False,False
UNIC,unic,unicly,8,False,False
POND,pond,marlin,8,True,True
MDX,mdx,mdex,8,False,False
EPIK,epik,epik prime,8,False,True
NGL,ngl,gold fever,8,False,False
KDON,kdon,don-key,8,False,False
PEL,pel,propel,8,False,False
KLAY,klay,klaytn,8,False,True
LINA,lina,linear,8,True,True
CREDI,credi,credefi,8,False,False
TRVL,trvl,dtravel,8,False,False
ARKER,arker,arker,8,False,False
XEC,xec,ecash,8,False,False
BONDLY,bondly,forj(bondly),8,False,False
LACE,lace,lovelace world,8,False,False
HEART,heart,humans,8,False,True
UNB,unb,unbound,8,False,False
H3RO3S,h3ro3s,h3ro3s,8,False,False
FORWARD,forward,forward protocol,8,False,False
GAFI,gafi,gamefi,8,False,False
KOL,kol,kollect,8,False,True
CHMB,chmb,chumbi valley,8,False,False
FALCONS,falcons,falconswaps token,8,False,False
UFO,ufo,ufo gaming,8,False,True
GEEQ,geeq,geeq,8,False,False
RACEFI,racefi,racefi,8,False,False
ORC,orc,orbit chain,8,False,False
PEOPLE,people,constitutiondao,8,True,True
ADS,ads,alkimi,8,False,False
OOKI,ooki,ooki,8,False,False
SOS,sos,opendao,8,False,True
WHALE,whale,whale,8,False,False
IOTA,iota,iota,8,False,True
CWEB,cweb,coinweb,8,False,True
HNT,hnt,helium,8,False,True
GGG,ggg,good games guild,8,False,False
CLH,clh,clearinghouse token,8,False,False
REVU,revu,revuto,8,False,False
PLGR,plgr,pledge,8,False,False
GLMR,glmr,glimmer,8,True,True
CTC,ctc,creditcoin,8,False,False
LOVE,love,deesse,8,False,False
GARI,gari,gari network,8,False,True
FRR,frr,frontrow,8,False,False
ASTR,astr,astar network,8,False,True
ERTHA,ertha,ertha,8,False,False
FCON,fcon,space falcon,8,False,False
ACA,aca,acala,8,False,True
MTS,mts,metastrike,8,False,False
ROAR,roar,alphadex,8,False,False
HBB,hbb,hubble protocol,8,False,False
SURV,surv,survival game online,8,False,False
AMP,amp,amp,8,False,False
CVX,cvx,convex finance,8,False,False
MJT,mjt,mojitoswap,8,False,False
XNO,xno,nano,8,False,False
SHX,shx,stronghold token,8,False,False
STARLY,starly,starly,8,False,False
ONSTON,onston,onston,8,False,True
WMT,wmt,world mobile token,8,False,False
RANKER,ranker,rankerdao,8,False,True
LAVAX,lavax,lavax labs,8,False,False
MARS4,mars4,mars4,8,False,False
METIS,metis,metis,8,False,False
WAL,wal,the wasted lands,8,False,False
BULL,bull,bullieverse,8,False,False
SON,son,souni,8,False,False
MELOS,melos,melos studio,8,False,False
APE,ape,apecoin,8,True,True
VSYS,vsys,v systems,8,False,False
ABT,abt,arcblock,8,False,False
ACAT,acat,alphacat,8,False,False
ACT,act,achain,8,False,False
ADB,adb,adbank,8,False,False
AERGO,aergo,aergo,8,False,False
AGI,agi,singularitynet,8,False,False
AION,aion,aion,8,False,True
AIX,aix,aigang,8,False,False
AMB,amb,airdao,8,False,True
AOA,aoa,aurora (aoa),8,False,False
APH,aph,aphelion,8,False,False
ARN,arn,aeron,8,False,False
ARY,ary,block array,8,False,False
AVA,ava,ava,8,False,True
AXPR,axpr,axpire,8,False,False
BAX,bax,babb,8,False,False
BCD,bcd,bitcoin diamond,8,False,False
BCH,bch,bitcoin cash,8,True,True
BCHABC,bchabc,bchabc,8,True,False
BCHSV,bsv,bchsv,8,True,True
BCPT,bcpt,blockmason,8,False,False
